h13t1,5,4,1,80.0%

=== h12t7 ===
Games: 5 | P1 Win Rate: 80.0% | Avg Score Diff: 353.2

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h14t8,1,1,0,0.0%
h10t9,1,1,0,0.0%
h14t7,1,0,1,100.0%
h7t7,1,1,0,0.0%
h17t8,1,1,0,0.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h16t1,2,1,1,50.0%
h14t1,1,1,0,100.0%
h5t1,1,1,0,100.0%
h15t8,1,1,0,100.0%

=== h7t8 ===
Games: 4 | P1 Win Rate: 75.0% | Avg Score Diff: 430.0

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h4t1,1,1,0,0.0%
h4t3,1,0,1,100.0%
h12t1,1,1,0,0.0%
h2t5,1,1,0,0.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h5t1,4,3,1,75.0%

=== h6t3 ===
Games: 3 | P1 Win Rate: 66.7% | Avg Score Diff: -83.0

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h1t2,1,1,0,0.0%
h11t5,1,1,0,0.0%
h8t5,1,0,1,100.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h13t1,2,1,1,50.0%
h3t9,1,1,0,100.0%

=== h12t4 ===
Games: 3 | P1 Win Rate: 66.7% | Avg Score Diff: 27.3

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h4t7,1,1,0,0.0%
h7t4,1,1,0,0.0%
h10t8,1,0,1,100.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h5t1,2,1,1,50.0%
h2t1,1,1,0,100.0%

=== h6t5 ===
Games: 5 | P1 Win Rate: 60.0% | Avg Score Diff: 58.0

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h8t8,2,1,1,50.0%
h1t3,1,1,0,0.0%
h8t9,1,0,1,100.0%
h7t2,1,1,0,0.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h3t9,1,1,0,100.0%
h4t1,1,0,1,0.0%
h2t1,1,1,0,100.0%
h13t1,1,0,1,0.0%
h1t9,1,1,0,100.0%

=== h11t7 ===
Games: 7 | P1 Win Rate: 57.1% | Avg Score Diff: 54.1

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h16t8,1,0,1,100.0%
h16t7,1,1,0,0.0%
h16t6,1,1,0,0.0%
h14t3,1,0,1,100.0%
h8t7,1,1,0,0.0%
h6t4,1,0,1,100.0%
h12t5,1,1,0,0.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h13t1,7,4,3,57.1%

=== h7t7 ===
Games: 4 | P1 Win Rate: 50.0% | Avg Score Diff: 137.0

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h2t9,1,1,0,0.0%
h2t8,1,0,1,100.0%
h2t7,1,1,0,0.0%
h14t6,1,0,1,100.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h5t1,4,2,2,50.0%

=== h11t9 ===
Games: 6 | P1 Win Rate: 50.0% | Avg Score Diff: -27.3

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h14t1,1,1,0,0.0%
h8t1,1,1,0,0.0%
h8t2,1,1,0,0.0%
h16t8,1,0,1,100.0%
h12t4,1,0,1,100.0%
h6t4,1,0,1,100.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h13t1,6,3,3,50.0%

=== h4t6 ===
Games: 8 | P1 Win Rate: 37.5% | Avg Score Diff: 129.4

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h2t8,3,0,3,100.0%
h7t8,1,1,0,0.0%
h6t2,1,1,0,0.0%
h1t6,1,0,1,100.0%
h7t6,1,0,1,100.0%
h1t9,1,1,0,0.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h6t1,3,0,3,0.0%
h1t9,2,1,1,50.0%
h2t1,2,1,1,50.0%
h1t8,1,1,0,100.0%

=== h7t5 ===
Games: 5 | P1 Win Rate: 20.0% | Avg Score Diff: -150.8

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h2t9,1,0,1,100.0%
h2t8,1,0,1,100.0%
h2t6,1,1,0,0.0%
h12t5,1,0,1,100.0%
h14t3,1,0,1,100.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h5t1,4,1,3,25.0%
h6t1,1,0,1,0.0%

=== h6t9 ===
Games: 4 | P1 Win Rate: 0.0% | Avg Score Diff: -309.3

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h8t8,4,0,4,100.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h4t1,4,0,4,0.0%

