HEXUKI Simulation Results
Timestamp,2025-10-21T15:28:53.724Z
Games Played,250
Elapsed Time,31344.4s
MCTS Simulations,15000
Minimax Endgame,true

OVERALL STATISTICS
Player,Wins,Win %,Avg Score,Draws
Player 1,99,39.6%,1311.5,0
Player 2,151,60.4%,1332.5,0

OPENING ANALYSIS (First 4 Moves)
Opening Sequence,Games,P1 Wins,P2 Wins,Draws,P1 Win %,Avg Score Diff
"h4t4-h1t1-h7t1-h3t2",3,3,0,0,100.0%,142.7
"h7t1-h4t9-h2t2-h11t1",3,1,2,0,33.3%,-167.0
"h7t8-h2t9-h5t1-h6t8",3,3,0,0,100.0%,20.0
"h4t6-h1t1-h3t9-h2t9",2,0,2,0,0.0%,-104.0
"h11t4-h16t8-h14t1-h12t1",2,0,2,0,0.0%,-547.0
"h11t8-h8t1-h13t1-h16t9",2,2,0,0,100.0%,155.0
"h4t1-h6t1-h8t9-h14t2",2,0,2,0,0.0%,-61.0
"h12t7-h17t1-h15t9-h14t8",2,2,0,0,100.0%,468.0
"h7t9-h4t1-h5t1-h10t9",2,2,0,0,100.0%,318.0
"h7t9-h2t9-h5t1-h6t8",2,0,2,0,0.0%,-22.0
"h7t5-h2t9-h6t1-h1t1",2,0,2,0,0.0%,-259.5
"h12t4-h17t1-h11t1-h15t2",2,0,2,0,0.0%,-225.0
"h6t8-h1t1-h3t9-h4t9",2,2,0,0,100.0%,518.0
"h4t5-h2t9-h6t1-h1t1",2,0,2,0,0.0%,-490.5
"h14t1-h12t1-h10t9-h7t2",2,1,1,0,50.0%,-30.5
"h11t6-h16t9-h13t1-h12t7",2,0,2,0,0.0%,-64.0
"h6t5-h1t1-h3t9-h4t9",2,2,0,0,100.0%,293.0
"h14t5-h17t1-h11t1-h15t2",2,0,2,0,0.0%,-229.0
"h7t1-h2t9-h4t2-h11t1",2,0,2,0,0.0%,-342.0
"h4t1-h6t1-h8t9-h11t2",2,0,2,0,0.0%,-64.0
"h4t3-h6t1-h12t1-h8t2",2,2,0,0,100.0%,96.5
"h11t9-h16t9-h13t1-h12t8",2,0,2,0,0.0%,-157.0
"h7t9-h10t1-h5t1-h2t9",2,2,0,0,100.0%,291.0
"h6t5-h1t1-h3t9-h4t8",2,2,0,0,100.0%,366.0
"h6t9-h8t9-h4t1-h3t1",2,0,2,0,0.0%,-188.0
"h12t5-h17t1-h15t9-h14t8",2,2,0,0,100.0%,272.0
"h11t2-h16t9-h14t1-h12t1",2,0,2,0,0.0%,-260.0
"h12t5-h17t1-h15t9-h11t9",2,2,0,0,100.0%,405.5
"h14t4-h17t1-h11t1-h15t2",2,2,0,0,100.0%,176.0
"h12t1-h17t1-h10t9-h7t2",2,0,2,0,0.0%,-312.0
"h7t3-h2t9-h4t1-h6t1",2,0,2,0,0.0%,-373.5
"h12t8-h17t1-h15t9-h14t9",2,2,0,0,100.0%,244.0
"h4t7-h1t1-h3t9-h2t9",2,2,0,0,100.0%,146.0
"h14t6-h17t1-h11t1-h16t9",1,0,1,0,0.0%,-118.0
"h14t3-h17t1-h11t1-h15t2",1,1,0,0,100.0%,267.0
"h6t5-h1t1-h3t8-h4t9",1,1,0,0,100.0%,975.0
"h12t4-h17t1-h11t1-h7t2",1,1,0,0,100.0%,85.0
"h14t8-h17t1-h16t2-h15t2",1,0,1,0,0.0%,-130.0
"h12t4-h17t1-h15t8-h11t9",1,1,0,0,100.0%,92.0
"h4t3-h2t9-h5t1-h11t1",1,0,1,0,0.0%,-436.0
"h14t4-h16t9-h13t1-h7t1",1,0,1,0,0.0%,-247.0
"h11t6-h16t9-h12t1-h17t1",1,0,1,0,0.0%,-292.0
"h7t7-h10t1-h5t1-h2t9",1,1,0,0,100.0%,246.0
"h11t7-h16t8-h13t1-h12t9",1,0,1,0,0.0%,-5.0
"h4t5-h2t8-h1t9-h7t1",1,0,1,0,0.0%,-135.0
"h11t9-h8t1-h13t1-h16t9",1,1,0,0,100.0%,195.0
"h12t9-h10t9-h14t1-h15t1",1,0,1,0,0.0%,-431.0
"h7t7-h2t8-h5t1-h6t9",1,0,1,0,0.0%,-18.0
"h11t4-h16t9-h12t1-h10t1",1,0,1,0,0.0%,-208.0
"h12t8-h17t1-h15t9-h14t7",1,1,0,0,100.0%,403.0
"h4t4-h2t9-h5t1-h11t1",1,0,1,0,0.0%,-193.0
"h11t1-h8t9-h3t9-h12t1",1,0,1,0,0.0%,-107.0
"h12t9-h17t1-h14t1-h15t2",1,0,1,0,0.0%,-512.0
"h11t8-h16t8-h13t1-h12t9",1,0,1,0,0.0%,-30.0
"h11t4-h16t9-h12t1-h17t1",1,0,1,0,0.0%,-381.0
"h6t7-h1t1-h3t9-h4t8",1,1,0,0,100.0%,619.0
"h11t3-h16t9-h14t1-h12t1",1,0,1,0,0.0%,-479.0
"h7t3-h2t8-h4t1-h10t9",1,0,1,0,0.0%,-303.0
"h7t4-h2t8-h6t1-h8t1",1,0,1,0,0.0%,-360.0
"h14t7-h17t1-h16t2-h15t2",1,0,1,0,0.0%,-97.0
"h12t3-h17t1-h15t9-h11t9",1,1,0,0,100.0%,93.0
"h7t6-h2t9-h5t1-h6t8",1,0,1,0,0.0%,-68.0
"h6t6-h1t1-h3t9-h4t8",1,1,0,0,100.0%,446.0
"h11t3-h16t6-h13t1-h14t8",1,0,1,0,0.0%,-321.0
"h7t4-h2t9-h6t1-h1t1",1,0,1,0,0.0%,-388.0
"h6t9-h8t8-h4t1-h3t1",1,0,1,0,0.0%,-57.0
"h6t5-h1t1-h3t9-h7t9",1,1,0,0,100.0%,350.0
"h6t6-h1t1-h3t9-h4t7",1,1,0,0,100.0%,426.0
"h14t4-h16t9-h12t2-h17t1",1,0,1,0,0.0%,-140.0
"h11t7-h16t9-h13t1-h12t7",1,1,0,0,100.0%,364.0
"h12t5-h17t1-h15t9-h11t8",1,1,0,0,100.0%,447.0
"h4t5-h1t1-h7t1-h3t2",1,1,0,0,100.0%,261.0
"h12t4-h17t1-h15t9-h14t9",1,1,0,0,100.0%,86.0
"h4t2-h6t1-h8t9-h13t9",1,1,0,0,100.0%,65.0
"h7t9-h4t1-h5t1-h6t2",1,1,0,0,100.0%,96.0
"h7t5-h2t9-h4t1-h6t1",1,0,1,0,0.0%,-452.0
"h4t4-h2t9-h1t8-h6t7",1,0,1,0,0.0%,-1351.0
"h11t5-h16t9-h12t1-h17t1",1,0,1,0,0.0%,-248.0
"h7t6-h2t8-h5t1-h6t9",1,0,1,0,0.0%,-82.0
"h4t7-h1t1-h3t8-h2t9",1,0,1,0,0.0%,-135.0
"h6t3-h1t1-h3t9-h4t8",1,0,1,0,0.0%,-12.0
"h11t8-h14t1-h13t1-h8t8",1,1,0,0,100.0%,183.0
"h14t5-h17t1-h15t9-h16t9",1,0,1,0,0.0%,-301.0
"h11t4-h16t8-h13t1-h14t9",1,0,1,0,0.0%,-149.0
"h6t4-h1t1-h3t9-h4t8",1,1,0,0,100.0%,860.0
"h14t7-h17t1-h15t9-h16t9",1,0,1,0,0.0%,-170.0
"h4t6-h1t1-h2t2-h3t2",1,0,1,0,0.0%,-90.0
"h7t2-h2t7-h4t1-h10t9",1,0,1,0,0.0%,-599.0
"h7t7-h10t2-h5t1-h2t9",1,1,0,0,100.0%,140.0
"h7t5-h2t9-h5t1-h6t8",1,0,1,0,0.0%,-102.0
"h4t5-h1t1-h3t9-h2t8",1,0,1,0,0.0%,-13.0
"h7t6-h2t9-h5t1-h6t6",1,1,0,0,100.0%,40.0
"h14t9-h17t1-h15t8-h16t9",1,0,1,0,0.0%,-543.0
"h11t2-h16t8-h14t1-h12t1",1,0,1,0,0.0%,-256.0
"h7t5-h2t9-h5t1-h6t7",1,0,1,0,0.0%,-164.0
"h7t1-h10t9-h11t9-h16t8",1,0,1,0,0.0%,-163.0
"h4t3-h1t1-h7t1-h3t2",1,0,1,0,0.0%,-78.0
"h11t8-h14t1-h13t1-h8t9",1,1,0,0,100.0%,173.0
"h11t9-h14t1-h13t1-h8t9",1,1,0,0,100.0%,65.0
"h11t5-h16t9-h13t1-h12t8",1,1,0,0,100.0%,130.0
"h14t6-h17t1-h15t9-h16t8",1,0,1,0,0.0%,-461.0
"h7t7-h2t9-h5t1-h6t8",1,1,0,0,100.0%,12.0
"h11t3-h16t8-h14t1-h12t1",1,0,1,0,0.0%,-298.0
"h14t5-h17t1-h15t9-h11t9",1,1,0,0,100.0%,64.0
"h11t1-h14t9-h16t2-h7t1",1,0,1,0,0.0%,-385.0

MOVE 1 ANALYSIS (P1 Opening Moves)
Move,Games,P1 Wins,P2 Wins,Draws,P1 Win %,Avg Score Diff
h11t4,12,0,12,0,0.0%,-288.6
h12t5,11,11,0,0,100.0%,356.9
h11t7,11,1,10,0,9.1%,-5.0
h6t4,10,9,1,0,90.0%,354.9
h12t4,10,8,2,0,80.0%,111.1
h11t8,9,8,1,0,88.9%,87.1
h14t6,8,1,7,0,12.5%,-133.1
h11t6,8,0,8,0,0.0%,-99.4
h6t3,8,0,8,0,0.0%,-34.0
h7t9,7,5,2,0,71.4%,181.4
h12t6,7,7,0,0,100.0%,223.6
h6t5,6,6,0,0,100.0%,440.5
h14t9,6,0,6,0,0.0%,-258.8
h12t2,6,0,6,0,0.0%,-377.3
h7t1,6,1,5,0,16.7%,-224.7
h6t9,6,0,6,0,0.0%,-157.2
h6t6,6,6,0,0,100.0%,391.0
h12t7,5,5,0,0,100.0%,455.6
h7t5,5,0,5,0,0.0%,-247.4
h4t5,5,1,4,0,20.0%,-173.6
h14t1,5,1,4,0,20.0%,-56.6
h12t3,5,1,4,0,20.0%,-2.6
h4t2,5,1,4,0,20.0%,-132.2
h4t4,5,3,2,0,60.0%,-223.2
h6t2,5,0,5,0,0.0%,-392.2
h4t1,4,0,4,0,0.0%,-62.5
h4t3,4,2,2,0,50.0%,-80.3
h14t4,4,2,2,0,50.0%,-8.8
h7t2,4,0,4,0,0.0%,-332.5
h7t7,4,3,1,0,75.0%,95.0
h14t5,4,1,3,0,25.0%,-173.8
h11t9,4,2,2,0,50.0%,-13.5
h14t2,4,0,4,0,0.0%,-224.0
h4t6,3,0,3,0,0.0%,-99.3
h12t8,3,3,0,0,100.0%,297.0
h11t3,3,0,3,0,0.0%,-366.0
h7t3,3,0,3,0,0.0%,-350.0
h7t6,3,1,2,0,33.3%,-36.7
h7t8,3,3,0,0,100.0%,20.0
h11t2,3,0,3,0,0.0%,-258.7
h4t7,3,2,1,0,66.7%,52.3
h6t8,2,2,0,0,100.0%,518.0
h12t9,2,0,2,0,0.0%,-471.5
h11t1,2,0,2,0,0.0%,-246.0
h7t4,2,0,2,0,0.0%,-374.0
h14t7,2,0,2,0,0.0%,-133.5
h11t5,2,1,1,0,50.0%,-59.0
h12t1,2,0,2,0,0.0%,-312.0
h14t3,1,1,0,0,100.0%,267.0
h14t8,1,0,1,0,0.0%,-130.0
h6t7,1,1,0,0,100.0%,619.0

MOVE 2 ANALYSIS (P2 First Moves)
Move,Games,P1 Wins,P2 Wins,Draws,P2 Win %,Avg Score Diff (P1 perspective)
h17t1,74,40,34,0,45.9%,44.1
h1t1,53,30,23,0,43.4%,149.2
h16t9,40,6,34,0,85.0%,-118.4
h2t9,26,5,21,0,80.8%,-259.5
h6t1,11,3,8,0,72.7%,-65.3
h12t1,9,1,8,0,88.9%,-131.0
h16t8,7,0,7,0,100.0%,-261.7
h2t8,5,0,5,0,100.0%,-179.6
h8t1,3,3,0,0,0.0%,168.3
h4t1,3,3,0,0,0.0%,244.0
h10t1,3,3,0,0,0.0%,276.0
h8t9,3,0,3,0,100.0%,-161.0
h4t9,3,1,2,0,66.7%,-167.0
h14t1,3,3,0,0,0.0%,140.3
h10t9,2,0,2,0,100.0%,-297.0
h16t6,1,0,1,0,100.0%,-321.0
h8t8,1,0,1,0,100.0%,-57.0
h2t7,1,0,1,0,100.0%,-599.0
h10t2,1,1,0,0,0.0%,140.0
h14t9,1,0,1,0,100.0%,-385.0

HEX OCCUPANCY HEATMAP
Hex ID,Times Played,P1 Wins,P2 Wins,P1 Win %,Avg Move Number
0,250,99,151,39.6%,13.9
1,250,99,151,39.6%,9.4
2,250,99,151,39.6%,10.0
3,250,99,151,39.6%,10.2
4,250,99,151,39.6%,8.5
5,250,99,151,39.6%,11.3
6,250,99,151,39.6%,8.4
7,250,99,151,39.6%,8.2
8,250,99,151,39.6%,8.7
10,250,99,151,39.6%,9.1
11,250,99,151,39.6%,7.2
12,250,99,151,39.6%,7.4
13,250,99,151,39.6%,10.3
14,250,99,151,39.6%,8.1
15,250,99,151,39.6%,9.4
16,250,99,151,39.6%,8.4
17,250,99,151,39.6%,8.3
18,250,99,151,39.6%,14.0

COUNTER-MOVE ANALYSIS (P2 Responses to P1 Openings)
P1 Opening,P2 Response,Games,P1 Wins,P2 Wins,Draws,P2 Win %
h4t6,h1t1,3,0,3,0,100.0%
h11t4,h16t9,9,0,9,0,100.0%
h11t4,h16t8,3,0,3,0,100.0%
h14t6,h17t1,8,1,7,0,87.5%
h6t4,h1t1,10,9,1,0,10.0%
h11t6,h16t9,8,0,8,0,100.0%
h11t8,h16t9,4,4,0,0,0.0%
h11t8,h8t1,2,2,0,0,0.0%
h11t8,h14t1,2,2,0,0,0.0%
h11t8,h16t8,1,0,1,0,100.0%
h6t3,h1t1,8,0,8,0,100.0%
h4t1,h6t1,4,0,4,0,100.0%
h12t7,h17t1,5,5,0,0,0.0%
h7t9,h4t1,3,3,0,0,0.0%
h7t9,h2t9,2,0,2,0,100.0%
h7t9,h10t1,2,2,0,0,0.0%
h12t6,h17t1,7,7,0,0,0.0%
h12t5,h17t1,11,11,0,0,0.0%
h14t3,h17t1,1,1,0,0,0.0%
h6t5,h1t1,6,6,0,0,0.0%
h11t7,h16t9,10,1,9,0,90.0%
h11t7,h16t8,1,0,1,0,100.0%
h7t5,h2t9,5,0,5,0,100.0%
h12t4,h17t1,10,8,2,0,20.0%
h14t9,h17t1,6,0,6,0,100.0%
h6t8,h1t1,2,2,0,0,0.0%
h14t8,h17t1,1,0,1,0,100.0%
h4t5,h2t9,2,0,2,0,100.0%
h4t5,h1t1,2,1,1,0,50.0%
h4t5,h2t8,1,0,1,0,100.0%
h14t1,h12t1,5,1,4,0,80.0%
h12t2,h17t1,6,0,6,0,100.0%
h4t3,h6t1,2,2,0,0,0.0%
h4t3,h2t9,1,0,1,0,100.0%
h4t3,h1t1,1,0,1,0,100.0%
h14t4,h16t9,2,0,2,0,100.0%
h14t4,h17t1,2,2,0,0,0.0%
h7t2,h2t9,3,0,3,0,100.0%
h7t2,h2t7,1,0,1,0,100.0%
h12t3,h17t1,5,1,4,0,80.0%
h7t7,h10t1,1,1,0,0,0.0%
h7t7,h2t8,1,0,1,0,100.0%
h7t7,h10t2,1,1,0,0,0.0%
h7t7,h2t9,1,1,0,0,0.0%
h14t5,h17t1,4,1,3,0,75.0%
h11t9,h16t9,2,0,2,0,100.0%
h11t9,h8t1,1,1,0,0,0.0%
h11t9,h14t1,1,1,0,0,0.0%
h12t9,h10t9,1,0,1,0,100.0%
h12t9,h17t1,1,0,1,0,100.0%
h7t1,h4t9,3,1,2,0,66.7%
h7t1,h2t9,2,0,2,0,100.0%
h7t1,h10t9,1,0,1,0,100.0%
h6t9,h1t1,3,0,3,0,100.0%
h6t9,h8t9,2,0,2,0,100.0%
h6t9,h8t8,1,0,1,0,100.0%
h4t2,h6t1,5,1,4,0,80.0%
h12t8,h17t1,3,3,0,0,0.0%
h4t4,h1t1,3,3,0,0,0.0%
h4t4,h2t9,2,0,2,0,100.0%
h11t1,h8t9,1,0,1,0,100.0%
h11t1,h14t9,1,0,1,0,100.0%
h6t7,h1t1,1,1,0,0,0.0%
h11t3,h16t9,1,0,1,0,100.0%
h11t3,h16t6,1,0,1,0,100.0%
h11t3,h16t8,1,0,1,0,100.0%
h7t3,h2t9,2,0,2,0,100.0%
h7t3,h2t8,1,0,1,0,100.0%
h7t4,h2t8,1,0,1,0,100.0%
h7t4,h2t9,1,0,1,0,100.0%
h14t2,h12t1,4,0,4,0,100.0%
h14t7,h17t1,2,0,2,0,100.0%
h7t6,h2t9,2,1,1,0,50.0%
h7t6,h2t8,1,0,1,0,100.0%
h6t6,h1t1,6,6,0,0,0.0%
h7t8,h2t9,3,3,0,0,0.0%
h11t2,h16t9,2,0,2,0,100.0%
h11t2,h16t8,1,0,1,0,100.0%
h6t2,h1t1,5,0,5,0,100.0%
h11t5,h16t9,2,1,1,0,50.0%
h12t1,h17t1,2,0,2,0,100.0%
h4t7,h1t1,3,2,1,0,33.3%
